Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	File Offset (s)
1	Waveform 1	1	0.661873054	0.882497405	0.0	1203.6	L_savagei.wav	0.6619
1	Spectrogram 1	1	0.661873054	0.882497405	0.0	1203.6	L_savagei.wav	0.6619
2	Waveform 1	1	2.029163441	2.232370081	0.0	914.7	L_savagei.wav	2.0292
2	Spectrogram 1	1	2.029163441	2.232370081	0.0	914.7	L_savagei.wav	2.0292
3	Waveform 1	1	3.159669433	3.386099688	0.0	914.7	L_savagei.wav	3.1597
3	Spectrogram 1	1	3.159669433	3.386099688	0.0	914.7	L_savagei.wav	3.1597
4	Waveform 1	1	4.468900781	4.683719228	0.0	1107.3	L_savagei.wav	4.4689
4	Spectrogram 1	1	4.468900781	4.683719228	0.0	1107.3	L_savagei.wav	4.4689
5	Waveform 1	1	5.697296285	5.915017684	0.0	1107.3	L_savagei.wav	5.6973
5	Spectrogram 1	1	5.697296285	5.915017684	0.0	1107.3	L_savagei.wav	5.6973
7	Waveform 1	1	6.800787824	7.006897415	0.0	1107.3	L_savagei.wav	6.8008
7	Spectrogram 1	1	6.800787824	7.006897415	0.0	1107.3	L_savagei.wav	6.8008
9	Waveform 1	1	7.955467547	8.158674187	0.0	1059.2	L_savagei.wav	7.9555
9	Spectrogram 1	1	7.955467547	8.158674187	0.0	1059.2	L_savagei.wav	7.9555
10	Waveform 1	1	9.290677143	9.488077878	0.0	1155.5	L_savagei.wav	9.2907
10	Spectrogram 1	1	9.290677143	9.488077878	0.0	1155.5	L_savagei.wav	9.2907
